DIA,,Servicios Calama,,,,
,DIRECCION,ORIGEN,DESTINO,HORA SALIDA,DESCRIPCION,RECORRIDO
DOMINGO,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,22:00,Subida Administrativo Calama,Aeropuerto - Oxido/Sulfuro
LUNES,Subida,CALAMA TER RECORRIDO,CENTINELA OXIDO/SULFURO,5:45 (*),Subida Administrativo Calama,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro (*) Inicio recorrido
,Subida,AEROPUERTO CALAMA,CENTINELA SULFURO,7:00,Subida Administrativo Calama,Aeropuerto - Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,7:30,Subida Administrativo Calama,Aeropuerto - Sulfuro/Oxido
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,7:45,Subida Administrativo Calama,Aeropuerto - Sulfuro/Oxido
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,18:30,Subida Planta ,Aeropuerto - Sulfuro/Oxido
,Sunidad ,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,22:15,Subida Planta ,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,22:45,Subida Planta,Terminal Balmaceda (Pullman) - Aeropuerto - Oxido/Sulfuro
,Bajada,CENTINELA SULFURO,AEROPUERTO CALAMA,20:00,Bajada Planta,Sulfuro- Aeropuerto
,Bajada,CENTINELA SULFURO,AEROP TERM CALAMA,21:00,Bajada Planta,Sulfuro - Oxido - Aeropuerto - Terminal Balmaceda (Pullman)
MARTES,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,12:00,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,16:30,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA SULFURO,17:00,Subida Turno Mina,Aeropuerto - Sulfuro
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA SULFURO,22:00,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub agencia - Aeropuerto - Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,22:45,Subida Turno Mina,Aeropuerto - Oxido/Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,22:45,Subida Turno Mina,Aeropuerto - Oxido/Sulfuro
,Bajada,CENTINELA SULFURO,ADM CALAMA TERMINAL,8:30,Bajada Planteros Turno Noche,Sulfuro - Aeropuerto- Sub Agencia - Terminal Balmaceda (Pullman)
,Bajada,CENTINELA SULFURO,AEROP TERM CALAMA,20:00,Bajada Turno Mina,Sulfuro - Aeropuerto 
,Bajada,CENTINELA SULFURO,AEROP TERM CALAMA,20:00,Bajada Turno Mina,Sulfuro - Aeropuerto - Sub Agencia - Terminal Balmaceda (Pullman)
,Bajada,CENTINELA OXIDO,ADM CALAMA TERMINAL,20:15,Bajada Turno Mina,Oxido - Aeropuerto - Sub Agencia - Terminal Balmaceda (Pullman) - Recorrido
,Bajada,CENTINELA SULFURO,CALAMA TERM AEROPTO,21:00,Bajada Turno Mina,Sulfuro - Aeropuerto - Sub Agencia - Terminal Balmaceda (Pullman) - Recorrido
MIERCOLES,Subida,CALAMA TERMINAL ,CENTINELA OXIDO/SULFURO,4:00 (*),Subida Turno Mina,Recorrido - Terminal Balmaceda (Pullman) - Sub Agencia - Oxido/Sulfuro (*) Inicio recorrido
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,12:00,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,13:00,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA OXIDO/SULFURO,15:00,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,AEROPUERTO CALAMA,CENTINELA OXIDO/SULFURO,15:30,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Oxido/Sulfuro
,Subida,CALAMA TERMINAL AEROPUERTO,CENTINELA SULFURO,16:30,Subida Turno Mina,Terminal Balmaceda (Pullman) - Sub Agencia - Aeropuerto - Sulfuro
,Bajada,CENTINELA OXIDO,AEROP TERM CALAMA,8:15,Bajada Turno nochero mina,Oxidos - Aeropuerto - Terminal Balmaceda (Pullman) - Recorrido
,Bajada,CENTINELA SULFURO,CALAMA TERMINAL RECORRIDO,9:00,Bajada Turno nochero mina,Sulfuro - Sub Agencia - Terminal Balmaceda (Pullman) - Recorrido
,Bajada,CENTINELA SULFURO,CALAMA AEROPUERTO ,9:00,Bajada Turno nochero mina,Sulfuro - Aeropuerto - Sub Agencia - Terminal Balmaceda (Pullman) - Recorrido
